month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,3.17,3.16,2.64,1.5,2.55,1.96,1.97,2.46,3.65,1.65,3.96
01-02,3.27,1.79,2.11,1.34,2.78,2.7,1.73,1.97,1.86,2.41,1.5
01-03,1.5,3.03,1.94,2.54,4.35,2.77,1.41,1.5,1.76,2.17,1.17
01-04,2.65,1.37,1.51,2.22,2.91,1.62,2.2,1.33,3.07,2.37,3.39
01-05,2.98,2.1,1.58,3.62,1.79,2.49,3.55,1.21,3.33,2.64,1.71
01-06,3.53,4.72,1.56,2.37,1.93,2.79,2.4,2.21,2.15,1.68,2.28
01-07,1.91,3.52,2.17,1.34,2.47,2.41,2.02,4.35,3.36,1.12,2.67
01-08,2.02,3.54,1.55,3.23,1.38,1.57,2.3,2.43,1.69,1.7,3.04
01-09,3.98,2.87,1.97,4.2,3.95,3.7,3.41,2.71,1.92,1.86,1.99
01-10,3.47,2.6,1.94,2.17,3.8,1.34,2.64,1.84,3.08,4.19,2.47
01-11,1.75,2.29,2.13,2.11,3.09,3.14,1.47,2.21,1.94,1.56,3.7
01-12,1.91,3.94,2.96,2.42,1.87,2.56,1.53,1.79,3.85,1.13,2.05
01-13,3.4,2.16,1.34,2.97,1.95,2.91,1.37,1.48,2.91,1.76,2.54
01-14,2.6,1.43,1.77,3.23,2.69,2.33,1.36,2.08,3.98,2.62,2.9
01-15,3.03,4.05,2.42,3.2,2.87,1.73,1.99,2.51,2.48,2.82,4.11
01-16,1.83,2.43,2.12,3.33,1.66,3.24,1.64,3.12,1.81,3.33,4.24
01-17,2.67,4.53,2.42,2.6,3.58,2.08,2.7,1.87,1.31,2.01,1.53
01-18,1.61,2.8,3.81,1.83,1.66,3.71,4.81,2.35,3.76,2.61,1.34
01-19,4.46,2.36,4.93,2.75,2.54,1.91,2.08,4.8,1.62,2.19,3.27
01-20,1.83,3.22,4.35,2.4,1.44,2.18,1.67,2.3,2.78,2.1,3.13
01-21,2.37,2.69,2.62,3.75,1.78,2.8,3.53,1.21,3.94,3.67,3
01-22,2.63,2.87,2.77,2.74,4.67,2.57,1.41,1.6,1.96,1.61,2.44
01-23,2.67,3.68,1.41,4.03,3.9,2.43,1.58,4.67,1.52,2.02,2.34
01-24,2.44,1.58,3.85,3.29,4.3,4.09,2,4.95,3.21,3.33,4.01
01-25,1.89,1.79,2.9,2.94,3.58,1.87,2.72,2.87,1.74,4.55,3.93
01-26,4.74,1.7,1.74,1.6,3.4,3.96,1.82,1.63,1.78,2,3.55
01-27,2.37,2.97,2.01,4.09,3.79,3.61,2.92,3.16,3,1.55,2.9
01-28,3.42,4.08,1.74,2.02,1.91,3.28,3.75,3.8,2.21,3.05,1.91
01-29,2.51,1.98,3.43,1.55,1.61,4.61,2.43,3.67,1.59,1.8,2.07
01-30,3.91,2.88,4.03,3.55,2.57,1.93,2.29,2.81,3.18,2.91,1.62
01-31,3.61,4.87,1.68,3.49,1.57,2.47,3.93,2.96,3.57,2.57,2.27
02-01,1.02,4.5,2.7,2.38,3.35,4.08,3.18,2.38,2.2,3.49,4.08
02-02,1.46,3.38,3.2,4.31,3.92,1.82,2.16,3.72,2.91,3.5,2.93
02-03,2.23,2.48,2.54,3.34,1.64,2.14,2.4,2.02,1.95,2.88,2.2
